	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
202398	GUT_GENOME202399	SRR5558150_bin.53	EBI	MAG	1783879	44	64098	46.96	76.05	0.0	0.02	94.96	63.14	11.79	18	ERZ971078	GUT_GENOME096175	MGYG-HGUT-01365	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens	SRS1996016	SRP100518	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01365/genomes2/GUT_GENOME202399.gff.gz
247251	GUT_GENOME247252	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.12	CIBIO	MAG	1466390	340	5218	52.56	69.88	0.34	0.63	0.0	0.0	0.0	12		GUT_GENOME140311	MGYG-HGUT-02295	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	ERS1066703	ERP013933	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02295/genomes1/GUT_GENOME247252.gff.gz
270820	GUT_GENOME270821	ZeeviD_2015__PNP_Main_329__bin.1	CIBIO	MAG	1726105	176	14995	47.24	91.94	1.08	0.03	0.0	34.31	0.0	18		GUT_GENOME155267	MGYG-HGUT-02616	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp001917125	ERS971967	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-026/MGYG-HGUT-02616/genomes1/GUT_GENOME270821.gff.gz
146310	GUT_GENOME146311	PATRIC_624_1355	PATRIC/IMG	Isolate	4741943	393	26812	50.43	99.6	0.26		95.8	32.62	99.86	20	624.1355	GUT_GENOME144544	MGYG-HGUT-02506	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	SAMEA3891681	PRJEB12097	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02506/genomes3/GUT_GENOME146311.gff.gz
10946	GUT_GENOME010947	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.113	CIBIO	MAG	2424358	47	98802	41.08	92.91	0.74	0.05	0.0	0.0	5.47	14		GUT_GENOME000735	MGYG-HGUT-00154	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45 sp900066395	ERS554199	ERP007090	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00154/genomes2/GUT_GENOME010947.gff.gz
98092	GUT_GENOME098093	HeQ_2017__RSZAXPI003107-147__bin.9	CIBIO	MAG	2246876	65	50897	49.79	88.61	0.0	0.01	0.0	0.0	0.0	14		GUT_GENOME200873	MGYG-HGUT-03074	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655	ERS1343349	ERP017091	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-030/MGYG-HGUT-03074/genomes1/GUT_GENOME098093.gff.gz
111995	GUT_GENOME111996	LeChatelierE_2013__MH0275__bin.28	CIBIO	MAG	2305894	21	179500	43.16	95.79	1.5	0.03	0.0	87.48	0.0	20		GUT_GENOME233517	MGYG-HGUT-03439	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	ERS328935	ERP003612	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03439/genomes4/GUT_GENOME111996.gff.gz
168593	GUT_GENOME168594	SRR1462565_bin.1	EBI	MAG	4659115	128	66974	50.51	98.2	0.15	0.18	88.24	0.0	0.0	15	ERZ987181	GUT_GENOME144544	MGYG-HGUT-02506	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	SRS576050	SRP040146	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02506/genomes7/GUT_GENOME168594.gff.gz
101405	GUT_GENOME101406	HMP_2012__SRS017103__bin.54	CIBIO	MAG	1344386	358	4153	48.9	70.33	3.51	0.03	0.0	0.0	0.0	10		GUT_GENOME096175	MGYG-HGUT-01365	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens	SRS017103	SRP002163	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01365/genomes2/GUT_GENOME101406.gff.gz
93716	GUT_GENOME093717	FengQ_2015__SID530297__bin.25	CIBIO	MAG	2871214	182	27696	55.93	96.5	4.38	0.7	91.6	0.0	0.0	18		GUT_GENOME081328	MGYG-HGUT-01104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	ERS608545	ERP008729	Austria	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-011/MGYG-HGUT-01104/genomes1/GUT_GENOME093717.gff.gz
19619	GUT_GENOME019620	CosteaPI_2017__alien2-11-0-0__bin.36	CIBIO	MAG	5368833	140	73456	41.38	99.25	3.57	0.01	0.0	0.0	0.0	19		GUT_GENOME143505	MGYG-HGUT-02478	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	ERS1444643	ERP019502	Germany	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes12/GUT_GENOME019620.gff.gz
172812	GUT_GENOME172813	SRR203317_bin.2	EBI	MAG	2030670	155	19117	54.88	95.84	3.12	0.17	0.0	0.0	0.0	18	ERZ833595	GUT_GENOME095971	MGYG-HGUT-01302	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	SRS192951	SRP006764	Finland	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01302/genomes5/GUT_GENOME172813.gff.gz
66380	GUT_GENOME066381	ERS235510_38	HGM	MAG	1952154	788	2793	57.27	82.35	1.64	0.31	0.0	0.0	38.02	18		GUT_GENOME096489	MGYG-HGUT-01494	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Dakarella;s__Dakarella massiliensis	ERS235510	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-014/MGYG-HGUT-01494/genomes1/GUT_GENOME066381.gff.gz
268261	GUT_GENOME268262	ZeeviD_2015__PNP_Main_21__bin.13	CIBIO	MAG	1429976	8	233022	45.48	70.81	0.0	0.0	0.0	0.0	0.0	18		GUT_GENOME266586	MGYG-HGUT-04323	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	ERS971659	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-043/MGYG-HGUT-04323/genomes5/GUT_GENOME268262.gff.gz
73784	GUT_GENOME073785	ERS396487_111	HGM	MAG	2143568	38	118059	50.72	95.97	0.0	0.01	0.0	0.0	0.0	20		GUT_GENOME263370	MGYG-HGUT-04282	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D sp000434695	ERS396487	ERP004605	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-042/MGYG-HGUT-04282/genomes1/GUT_GENOME073785.gff.gz
24547	GUT_GENOME024548	CosteaPI_2017__SID713B003-11-90-0__bin.35	CIBIO	MAG	2030535	184	16136	58.94	89.93	0.0	0.32	94.12	0.0	0.0	19		GUT_GENOME095967	MGYG-HGUT-01300	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_K	ERS1444550	ERP019502	Kazakhstan	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01300/genomes1/GUT_GENOME024548.gff.gz
265717	GUT_GENOME265718	ZeeviD_2015__PNP_Main_121__bin.12	CIBIO	MAG	2634759	116	56348	40.81	97.65	0.67	0.04	93.28	0.0	0.0	17		GUT_GENOME001241	MGYG-HGUT-00209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	ERS971759	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00209/genomes2/GUT_GENOME265718.gff.gz
273828	GUT_GENOME273829	ZeeviD_2015__PNP_Main_459__bin.34	CIBIO	MAG	2784301	29	150537	44.01	89.26	0.67	0.01	0.0	0.0	5.98	18		GUT_GENOME001379	MGYG-HGUT-00231	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	ERS972097	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00231/genomes3/GUT_GENOME273829.gff.gz
125105	GUT_GENOME125106	LiJ_2017__nHM412716__bin.57	CIBIO	MAG	3953766	369	14302	60.55	97.04	0.0	0.01	0.0	99.61	99.69	20		GUT_GENOME096166	MGYG-HGUT-01359	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	ERS1138747	ERP015450	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01359/genomes1/GUT_GENOME125106.gff.gz
232428	GUT_GENOME232429	SRS475537_43	HGM	MAG	2123751	39	69901	41.14	98.13	0.55		94.12	0.0	0.0	19		GUT_GENOME235173	MGYG-HGUT-03475	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__;s__	SRS475537	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03475/genomes1/GUT_GENOME232429.gff.gz
252800	GUT_GENOME252801	XieH_2016__YSZC12003_35707__bin.89	CIBIO	MAG	3250536	42	124709	51.44	94.6	1.11	0.0	0.0	0.0	10.84	20		GUT_GENOME018576	MGYG-HGUT-00606	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	ERS746941	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-006/MGYG-HGUT-00606/genomes1/GUT_GENOME252801.gff.gz
11216	GUT_GENOME011217	BritoIL_2016__M1.16.ST__bin.96	CIBIO	MAG	1498804	30	83795	38.96	80.27	0.34	0.02	86.55	0.0	0.0	17		GUT_GENOME150720	MGYG-HGUT-02570	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	SRS476144	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02570/genomes3/GUT_GENOME011217.gff.gz
13899	GUT_GENOME013900	BritoIL_2016__W2.15.ST__bin.71	CIBIO	MAG	1802754	60	49144	52.55	57.24	0.86	0.06	0.0	0.0	0.0	11		GUT_GENOME107760	MGYG-HGUT-01763	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975	SRS475998	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-017/MGYG-HGUT-01763/genomes1/GUT_GENOME013900.gff.gz
149020	GUT_GENOME149021	QinJ_2012__CON-073__bin.41	CIBIO	MAG	1999725	36	81159	53.08	92.74	0.0	0.13	0.0	0.0	0.0	19		GUT_GENOME026012	MGYG-HGUT-00730	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00730/genomes1/GUT_GENOME149021.gff.gz
49777	GUT_GENOME049778	ERR2013562_bin.11	EBI	MAG	2841544	80	56534	40.48	98.66	0.0	0.02	0.0	0.0	5.47	15	ERZ851858	GUT_GENOME023591	MGYG-HGUT-00690	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp000431135	ERS1487532	ERP020710	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-006/MGYG-HGUT-00690/genomes1/GUT_GENOME049778.gff.gz
155705	GUT_GENOME155706	QinN_2014__LD-35__bin.22	CIBIO	MAG	2444799	72	61544	58.78	97.59	0.68	0.55	0.0	0.0	0.0	16		GUT_GENOME131908	MGYG-HGUT-02155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	ERS475291	ERP005860	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-021/MGYG-HGUT-02155/genomes1/GUT_GENOME155706.gff.gz
254541	GUT_GENOME254542	XieH_2016__YSZC12003_36058__bin.6	CIBIO	MAG	1519447	23	111283	53.56	73.39	0.0	0.02	0.0	0.0	0.0	18		GUT_GENOME089175	MGYG-HGUT-01168	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000436075	ERS746755	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-011/MGYG-HGUT-01168/genomes1/GUT_GENOME254542.gff.gz
242312	GUT_GENOME242313	VatanenT_2016__G80467__bin.9	CIBIO	MAG	2289416	83	41313	45.43	64.93	0.19	0.0	0.0	0.0	0.0	18		GUT_GENOME000189	MGYG-HGUT-00043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066455	SRS1735486	SRP090628	Estonia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00043/genomes1/GUT_GENOME242313.gff.gz
77291	GUT_GENOME077292	ERS473166_1	HGM	MAG	2616303	302	16383	49.1	94.51	1.32	0.36	0.0	0.0	0.0	16		GUT_GENOME001587	MGYG-HGUT-00251	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	ERS473166	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00251/genomes1/GUT_GENOME077292.gff.gz
130592	GUT_GENOME130593	LoombaR_2017__SID5442_twn__bin.11	CIBIO	MAG	2437231	42	107667	58.54	93.88	0.0	0.01	0.0	0.0	0.0	20		GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	SRS1993562	SRP100446	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes1/GUT_GENOME130593.gff.gz
1539	GUT_GENOME001540	AM25-39	CGR	Isolate	3122831	93	157637	39.07	99.36	0.32		0.0	99.67	99.83	19	GCA_003603705	GUT_GENOME103765	MGYG-HGUT-01704	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	SAMN09736318	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-017/MGYG-HGUT-01704/genomes1/GUT_GENOME001540.gff.gz
227620	GUT_GENOME227621	SRS290837_5	HGM	MAG	1994930	347	7749	38.87	93.06	3.1		92.44	99.67	99.69	18		GUT_GENOME096096	MGYG-HGUT-01349	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	SRS290837	SRP001634	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01349/genomes1/GUT_GENOME227621.gff.gz
155645	GUT_GENOME155646	QinN_2014__LD-32__bin.15	CIBIO	MAG	1913518	184	14593	60.47	87.91	1.38	1.2	94.12	0.0	0.0	18		GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	ERS475288	ERP005860	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes5/GUT_GENOME155646.gff.gz
137431	GUT_GENOME137432	NielsenHB_2014__V1_UC15_3__bin.64	CIBIO	MAG	4661932	84	104576	43.34	96.86	0.0	0.13	0.0	0.0	0.0	20		GUT_GENOME096063	MGYG-HGUT-01337	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	ERS199328	ERP002061	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01337/genomes1/GUT_GENOME137432.gff.gz
173275	GUT_GENOME173276	SRR2155314_bin.23	EBI	MAG	2897394	286	14793	47.96	97.24	1.93	0.04	0.0	0.0	0.0	12	ERZ843986	GUT_GENOME001297	MGYG-HGUT-00217	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565	SRS1028138	SRP062282	Germany	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00217/genomes4/GUT_GENOME173276.gff.gz
79429	GUT_GENOME079430	ERS473334_99	HGM	MAG	1230667	510	2595	44.63	60.64	0.19	0.99	0.0	0.0	0.0	9		GUT_GENOME096055	MGYG-HGUT-01334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B ruminis	ERS473334	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01334/genomes1/GUT_GENOME079430.gff.gz
14568	GUT_GENOME014569	BritoIL_2016__W2.59.ST__bin.17	CIBIO	MAG	1814144	171	15792	58.28	88.32	1.9	0.54	0.0	0.0	0.0	15		GUT_GENOME159567	MGYG-HGUT-02724	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	SRS476269	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-027/MGYG-HGUT-02724/genomes1/GUT_GENOME014569.gff.gz
173063	GUT_GENOME173064	SRR2048045_bin.14	EBI	MAG	1636139	32	100138	39.16	92.62	2.19	0.01	0.0	0.0	0.0	13	ERZ831993	GUT_GENOME173058	MGYG-HGUT-02839	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella sp001071995	SRS935445	SRP058320	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-028/MGYG-HGUT-02839/genomes1/GUT_GENOME173064.gff.gz
235321	GUT_GENOME235322	SRS476074_9	HGM	MAG	1886036	165	14323	61.92	89.4	1.17	5.63	0.0	0.0	0.0	17		GUT_GENOME084706	MGYG-HGUT-01136	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	SRS476074	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-011/MGYG-HGUT-01136/genomes1/GUT_GENOME235322.gff.gz
262377	GUT_GENOME262378	YuJ_2015__SZAXPI015220-136__bin.8	CIBIO	MAG	2559970	119	28401	43.43	88.72	0.19	0.46	0.0	0.0	0.0	17		GUT_GENOME130046	MGYG-HGUT-02133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436915			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-021/MGYG-HGUT-02133/genomes1/GUT_GENOME262378.gff.gz
252215	GUT_GENOME252216	XieH_2016__YSZC12003_35629__bin.57	CIBIO	MAG	1965237	56	63833	62.54	91.28	1.68	0.15	0.0	0.0	11.66	19		GUT_GENOME043942	MGYG-HGUT-00884	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	ERS746885	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00884/genomes1/GUT_GENOME252216.gff.gz
220130	GUT_GENOME220131	SRS1596782_77	HGM	MAG	1781538	94	40108	59.35	76.21	2.38	0.3	0.0	0.0	0.0	17		GUT_GENOME142545	MGYG-HGUT-02397	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum	SRS1596782	SRP080787	Mongolia	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02397/genomes1/GUT_GENOME220131.gff.gz
28671	GUT_GENOME028672	ERR011199_bin.7	EBI	MAG	2293601	384	6981	44.79	82.05	3.27	0.44	0.0	0.0	0.0	10	ERZ894885	GUT_GENOME001379	MGYG-HGUT-00231	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	ERS006579	ERP000108	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00231/genomes2/GUT_GENOME028672.gff.gz
86402	GUT_GENOME086403	ERS537388_85	HGM	MAG	1553756	111	21592	50.35	56.33	0.0	0.05	92.44	0.0	0.0	18		GUT_GENOME075103	MGYG-HGUT-01060	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900343095	ERS537388	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-010/MGYG-HGUT-01060/genomes1/GUT_GENOME086403.gff.gz
5310	GUT_GENOME005311	BackhedF_2015__SID521_12M__bin.19	CIBIO	MAG	856582	21	178545	39.74	69.53	0.0	0.0	0.0	0.0	0.0	15		GUT_GENOME062382	MGYG-HGUT-00994	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	ERS473267	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-009/MGYG-HGUT-00994/genomes1/GUT_GENOME005311.gff.gz
168933	GUT_GENOME168934	SRR1484088_bin.7	EBI	MAG	1975186	231	11095	50.15	95.27	0.3	0.05	0.0	0.0	0.0	14	ERZ987583	GUT_GENOME096377	MGYG-HGUT-01440	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini	SRS580160	SRP040146	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-014/MGYG-HGUT-01440/genomes1/GUT_GENOME168934.gff.gz
